id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21967701,Riders Hut - Derby,130839986,James,,Dorset,-41.14430382435036,147.797140511703,Entire home/apt,157,1,0,,,16,300
21967712,Spectacular Holiday Living,130839986,James,,Dorset,-41.006726719410544,147.38858624509214,Entire home/apt,315,1,0,,,16,318
21967722,The Love Shack - Bridport,130839986,James,,Dorset,-41.00187307172818,147.38989861572452,Entire home/apt,225,1,0,,,16,324
21967780,Stylish Holiday Unit,130839986,James,,Dorset,-41.005967118102795,147.38972788650685,Entire home/apt,201,1,0,,,16,309
21967788,Westwood Villas - Bridport,130839986,James,,Dorset,-41.0012581827524,147.39135539272385,Entire home/apt,201,1,0,,,16,342
21968460,"Lovely Home, Great Location too",30507661,Mark & Della,,Glenorchy,-42.844738563204096,147.28524177266308,Private room,55,1,8,2018-02-13,3.87,2,351
21968860,"Cozy, roomy, delightful nature and close to city",157203454,Paul,,Hobart,-42.9165139536836,147.31814364195088,Private room,99,1,3,2018-01-05,1.76,3,56
21968896,Century old  charm,160392466,Keith,,Kingborough,-42.980800749303846,147.32407637797357,Entire home/apt,127,1,0,,,1,119
21971476,Magnolia house near cataract gorge,32750024,Michelle,,Launceston,-41.44485597246382,147.1288190571237,Entire home/apt,251,1,9,2018-02-07,4.66,2,157
21982040,Private Luxury Home with Private Gardens,24055853,Ian,,Hobart,-42.87850404401269,147.3173650335318,Entire home/apt,220,1,5,2017-12-29,2.00,7,0
21982250,Professional Accommodation,54431025,Heidi,,Meander Valley,-41.455743500068216,147.07737463579602,Private room,71,3,1,2017-12-08,0.42,1,0
21983289,"""Flinders Terrace"" - free wifi",92557519,Donna,,Launceston,-41.441765434351865,147.14404040160684,Entire home/apt,269,2,2,2018-01-07,1.22,34,160
21983775,Little bit of yesteryear (Large Studio),119399649,Sandra,,Launceston,-41.47885586364724,147.17388184212658,Entire home/apt,120,1,14,2018-02-10,8.40,1,159
21985095,Hobart/Sandy Bay Family Home with Water Views,28789950,Kyra And Scott Knighton,,Hobart,-42.921110249086105,147.35371240959176,Entire home/apt,251,2,4,2018-01-27,3.75,3,46
21985857,Riverbank Villa Devonport,160536219,Michelle,,Devonport,-41.17298171652132,146.3632958770193,Entire home/apt,180,1,6,2018-02-13,3.40,1,291
